Sample,acetate,butyrate,propionate,total
PH04.4,4.2,0.01,0.09,4.3
PH08.1,12.88,0.01,0.09,12.98
PH10.2,19.02,0.01,1.04,20.07
PH01.3,23.72,0.01,0.09,23.82
PH09.11,112.84,11.62,0.98,125.44
PH07.2,12.86,0.01,0.09,12.96
PH07.1,8.84,0.01,0.09,8.94
PH11.3,25.79,0.01,0.09,25.89
PH02.11,155.4,32.26,32.94,220.6
PH05.2,8.9,0.01,0.09,9
PH06.1,26.17,0.01,0.09,26.27
PH01.7,12.92,0.01,1.91,14.84
PH05.15,22.68,0.01,4.54,27.23
PH09.9,22.84,0.01,0.09,22.94
PH05.6,19.28,0.01,7.54,26.83
PH05.7,16.39,0.01,0.64,17.04
PH11.2,54.71,0.01,0.09,54.81
PH09.5,18.89,0.01,0.09,18.99
PH11.1,8.99,0.01,0.09,9.09
PH03.1,7.4,0.01,0.09,7.5
PH01.1,16.22,0.01,0.09,16.32
PH07.3,9.87,0.01,0.4,10.28
PH08.3,21.62,0.01,0.09,21.72
PH02.5,54.99,15.68,1.09,71.76
PH04.3,16.09,0.01,0.09,16.19
PH01.6,31.19,0.01,1.27,32.47
PH09.10,15.06,0.01,0.09,15.16
PH09.3,9.36,0.01,0.09,9.46
PH08.4,61.77,0.01,0.09,61.87
PH07.5,12.67,0.01,2.62,15.3
PH05.11,13.7,0.01,1.52,15.23
PH04.5,23.26,0.01,0.24,23.51
PH03.2,6.11,0.01,0.09,6.21
PH09.7,16.27,0.01,0.09,16.37
PH02.6,36.84,4.97,0.24,42.05
PH09.6,32.85,0.01,0.09,32.95
PH05.12,9.11,0.01,1.05,10.17
PH04.1,17.92,0.01,0.09,18.02
PH02.1,67.86,4.69,3.17,75.72
PH03.4,4.27,0.01,0.09,4.37
PH07.4,11.88,0.01,1.2,13.09
PH11.5,33.74,0.01,0.09,33.84
PH01.8,11.94,0.01,3.78,15.73
PH01.4,14.99,0.01,2.09,17.09
PH02.7,28.7,3.93,0.15,32.78
PH05.13,14.06,0.01,2.39,16.46
PH02.8,40.46,0.35,5.08,45.89
PH04.2,7.04,0.01,0.09,7.14
PH05.16,14.94,0.01,3.71,18.66
PH05.10,17.08,0.01,3.57,20.66
PH05.8,20.48,0.01,4.9,25.39
PH10.1,12.9,0.01,0.09,13
PH09.4,8.99,0.01,0.09,9.09
PH02.4,25.92,9.83,0.09,35.84
PH09.2,17.67,0.01,0.09,17.77
PH11.6,106.71,0.19,2.8,109.7
PH03.3,15.41,0.01,0.09,15.51
PH04.7,64.7,0.01,1.1,65.81
PH04.6,23.43,0.01,0.09,23.53
PH05.3,17.15,0.01,4.67,21.83
PH04.8,26.93,0.01,0.09,27.03
PH01.2,38.68,0.01,0.09,38.78
PH02.10,73.07,10.59,6.83,90.49
PH02.3,38.46,8.77,0.83,48.06
PH05.4,14.31,0.01,3.23,17.55
PH08.2,19.36,0.01,0.09,19.46
PH05.1,36.96,0.01,0.09,37.06
PH11.4,1.59,0.01,0.09,1.69
PH02.9,28.23,4.2,3.93,36.36
PH02.2,24.99,0.01,0.09,25.09
PH05.5,24.93,0.01,3.15,28.09
PH05.9,40.24,0.01,2.38,42.63
PH09.8,28.75,0.01,0.09,28.85
PH09.1,8.58,0.01,0.09,8.68
PH01.5,18.33,0.01,0.69,19.03
