"","(Intercept) Estimate","(Intercept) Std. Error","(Intercept) t value","(Intercept) Pr(>|t|)","model.bw Estimate","model.bw Std. Error","model.bw t value","model.bw Pr(>|t|)","model.DOL Estimate","model.DOL Std. Error","model.DOL t value","model.DOL Pr(>|t|)","model.pH Estimate","model.pH Std. Error","model.pH t value","model.pH Pr(>|t|)","model.redox Estimate","model.redox Std. Error","model.redox t value","model.redox Pr(>|t|)","model.Subject_IDPH02 Estimate","model.Subject_IDPH02 Std. Error","model.Subject_IDPH02 t value","model.Subject_IDPH02 Pr(>|t|)","model.Subject_IDPH03 Estimate","model.Subject_IDPH03 Std. Error","model.Subject_IDPH03 t value","model.Subject_IDPH03 Pr(>|t|)","model.Subject_IDPH04 Estimate","model.Subject_IDPH04 Std. Error","model.Subject_IDPH04 t value","model.Subject_IDPH04 Pr(>|t|)","model.Subject_IDPH05 Estimate","model.Subject_IDPH05 Std. Error","model.Subject_IDPH05 t value","model.Subject_IDPH05 Pr(>|t|)","model.Subject_IDPH06 Estimate","model.Subject_IDPH06 Std. Error","model.Subject_IDPH06 t value","model.Subject_IDPH06 Pr(>|t|)","model.Subject_IDPH07 Estimate","model.Subject_IDPH07 Std. Error","model.Subject_IDPH07 t value","model.Subject_IDPH07 Pr(>|t|)","model.Subject_IDPH08 Estimate","model.Subject_IDPH08 Std. Error","model.Subject_IDPH08 t value","model.Subject_IDPH08 Pr(>|t|)","model.Subject_IDPH09 Estimate","model.Subject_IDPH09 Std. Error","model.Subject_IDPH09 t value","model.Subject_IDPH09 Pr(>|t|)","model.Subject_IDPH10 Estimate","model.Subject_IDPH10 Std. Error","model.Subject_IDPH10 t value","model.Subject_IDPH10 Pr(>|t|)","(Intercept) Pr(>|t|).BH","model.bw Pr(>|t|).BH","model.DOL Pr(>|t|).BH","model.pH Pr(>|t|).BH","model.redox Pr(>|t|).BH","model.Subject_IDPH02 Pr(>|t|).BH","model.Subject_IDPH03 Pr(>|t|).BH","model.Subject_IDPH04 Pr(>|t|).BH","model.Subject_IDPH05 Pr(>|t|).BH","model.Subject_IDPH06 Pr(>|t|).BH","model.Subject_IDPH07 Pr(>|t|).BH","model.Subject_IDPH08 Pr(>|t|).BH","model.Subject_IDPH09 Pr(>|t|).BH","model.Subject_IDPH10 Pr(>|t|).BH"
"seq_1",46.7622837162961,13.8657784450991,3.38482086220103,0.00180628776987324,-0.0346417196226407,0.00864320890905669,-4.01657065515664,0.000297494938478023,-0.152136971169404,0.0310101825006345,-4.92937000367134,1.75134989924116e-05,0.526501199304184,0.97323963601364,0.539809959469706,0.599027610754516,0.00309552798203365,0.00328606146003649,0.942029585327491,0.36242186546577,2.52895370245508,1.65509117091395,1.52168466703591,0.148386135543969,3.22916901180897,3.37207845841869,0.961218989669992,0.382569193194115,-11.6176928653557,3.69947850998687,-3.143958216782,0.00335929569985121,-0.378835981303917,1.39823040545672,-0.281155877123332,0.767745790917164,10.5274648834113,4.10845233009779,2.56852813033606,0.0152563039787859,-6.38034170611766,2.68687811229846,-2.38207205616499,0.022885204581796,3.24015110092991,2.8133243967126,1.15981057407566,0.260721236427942,-7.96980189220836,3.40168813068497,-2.34642283698251,0.025856958949755,-8.53386980598662,3.83171571626404,-2.23458021861335,0.0325906612800699,0.040495738693827,0.00644717788282834,0.000395553918606631,1,1,0.92564348937105,0.991957996842008,0.0732952384995807,1,0.331332701430582,0.432296735610998,1,0.46483880655919,0.592624188581808
"seq_2",-5.32172445539482,18.4499265698043,-0.288401221072307,0.732222223090834,0.00656538437973271,0.0115007296799797,0.571562994248892,0.585007365032805,0.0946357616776091,0.0412624211700971,2.30009847054144,0.0299736505897639,-0.0859643474037364,1.29500120677475,-0.0647296238303726,0.789759441913718,-0.0113320294227125,0.00437246223726918,-2.59929323924246,0.0146113844221867,0.214129817727542,2.20227884720651,0.0981800404754263,0.78806758132114,-1.71060013528035,4.48691721072706,-0.384600362830107,0.676827874044668,0.88366530073987,4.92255859460608,0.178257014259572,0.758056361802792,6.29063695537161,1.86049765691029,3.38884576916415,0.00185572999816344,-1.46608220920241,5.46674275129768,-0.268907104566846,0.658226389553285,12.1062769017777,3.57518361267645,3.39479770700443,0.00200776869556855,-0.330891114587644,3.74343414918276,-0.0810616860586246,0.744782353824858,10.9714471343357,4.52631610067989,2.43113308673671,0.0261008845920413,10.5554574124117,5.09851458259983,2.07662512253432,0.0502454415495816,1,1,0.483136942018973,1,0.316794330512431,1,1,1,0.0249186062810891,0.989553266141044,0.0434389875294831,1,0.426739858211007,0.733479223982653
"seq_3",2.73229646424727,15.5809110398094,0.183344743233432,0.652688718781285,0.00906567055094273,0.00971233383280394,0.935584947388569,0.389115948001475,0.0668874648052073,0.0348459984979361,1.93758998344602,0.107960956217688,-0.551349529059257,1.09362487286133,-0.511015179883066,0.552246993471752,-0.00735117284503144,0.00369253204808499,-2.00506602593955,0.0826755934106702,-6.85228297201669,1.85981828563682,-3.71362188587681,0.00115880966607703,-11.0976752665098,3.78918895090592,-2.95193366866628,0.0100918306803452,3.87557832552202,4.15708687298153,0.935078178971075,0.381025328925378,-15.1098973106155,1.57118503276518,-9.6992744156372,5.11159701885684e-11,-10.3715699203527,4.61664886107975,-2.27298379910294,0.0564298883085134,-7.78857631325152,3.01923249446771,-2.60357889009429,0.0300198033802177,-13.3801180305828,3.16131959881398,-4.27575452107217,0.000408537806804624,-9.04069922594092,3.82246120253791,-2.38937779795385,0.0364774457099431,-11.4008376248455,4.30568120941316,-2.68000115119109,0.0269913714615364,1,0.99858239354662,0.689594788286523,1,0.744358486476859,0.0177403116576739,0.199835685454694,1,1.17566731433707e-09,0.658239888155207,0.388393046759827,0.0087202798592185,0.475651245290928,0.384829169448532
"seq_4",-36.3802688504682,16.300794630747,-2.23892941511778,0.0637561608689791,0.0394080124641542,0.0101610720187855,3.89895053970948,0.00119822077351643,-0.0107681688691079,0.0364559853892295,-0.297478363011657,0.562500385424235,-0.233551898041676,1.14415353569771,-0.211668917843458,0.604488395121973,-0.00239022737778571,0.00386313781199932,-0.622309446217231,0.51685144000612,-8.97905754010473,1.94574732165628,-4.65497908442403,0.000260405069414588,0.0463684683303882,3.9642605459975,0.0134894049294234,0.772596666142875,13.9002520920777,4.34915642644446,3.21445917006407,0.0073836116881871,-5.56688419721256,1.64377836960694,-3.42059516232442,0.00710280975256202,-10.9336713656705,4.82995152045063,-2.28077414274133,0.0498632432027754,1.93672816158909,3.15872985276979,0.614224078401545,0.516282682472621,2.83452244093599,3.3073817962735,0.854905535093443,0.432708082815354,8.6944609261129,3.99907007281977,2.18158261522726,0.0729033234621143,6.28509914742072,4.50461625515892,1.39961101975005,0.233915458687701,0.584656645740374,0.0241396231003075,0.977842136743456,0.999884995468233,0.9910055313656,0.00415478143870234,1,0.143484501796918,0.0751075323979212,0.626452822899289,0.991975823381703,0.975627227438433,0.586016899892345,0.924983584263711
"seq_5",-6.01700269181488,17.2876640159467,-0.343844520281168,0.603876760284782,0.00442981566196418,0.0107762353358691,0.408413583187416,0.572299049018913,0.0706921556577967,0.0386630738596317,1.84315535736498,0.119062325694303,-0.560098890601162,1.21342194389042,-0.469613524159127,0.573798333019276,0.00432554230812345,0.004097016743906,1.055560145339,0.361896884659124,-1.45531290930451,2.06354516566167,-0.715822882306886,0.477681560946676,0.63962239871292,4.20426156781397,0.156060770382593,0.647795294744706,1.70719721251551,4.61245950006312,0.366661111902245,0.582744029128341,9.13667788054319,1.74329465612948,5.2849589461575,2.95945364014517e-05,1.84353987579045,5.12236249767627,0.358788393159977,0.596363632769491,2.02691364828022,3.34996309375148,0.601762217567024,0.518989629704327,1.49798668514415,3.50761460171921,0.417613962360122,0.568411697406371,3.53555694445974,4.2411785045578,0.834267775571724,0.422887433719424,2.11504808480767,4.77733105066366,0.436465569882065,0.552802377087553,0.996177704981366,0.997769085429973,0.745364204881383,0.991891289200639,0.979507425122434,0.989207613798371,1,0.996055699164819,0.000488323781674968,1,0.988952714987318,1,0.986355949811602,0.999826804999524
"seq_6",-5.01144836217398,14.4451149507102,-0.360983084245984,0.526467468613256,-0.00019894545342986,0.00900433731352856,-0.0136849055730656,0.556366633487341,-0.0212837626306124,0.0323058422314899,-0.658832405995077,0.462973476537582,0.463643800813862,1.01390329237327,0.473411910450104,0.521264364310861,-0.00152068021669505,0.00342335886248803,-0.437979669615055,0.547759016642556,10.9338991630794,1.72424377848096,6.41065525217568,6.17088568740876e-06,3.81610033105554,3.51296980169824,1.09052714188116,0.360327885715785,0.591204679564519,3.8540492007739,0.164406407884019,0.577003638194338,-1.35272697318835,1.45665092042051,-0.929275044461959,0.391088857691746,2.58109905481591,4.2801106632965,0.60855321432655,0.466337227933389,-0.355375527962592,2.79914058517332,-0.119405677843382,0.583536219223346,1.24552535612258,2.93087001678688,0.431465945223681,0.54080961359085,0.556190170223571,3.54381661792516,0.165743311735054,0.547527439277553,0.936404965620139,3.99181150910716,0.240189650283922,0.556916239651097,0.979538184395905,0.979392985733628,0.938707308461927,0.988658478503683,0.9837369661592,0.00011314715776873,0.920475701396814,0.984360589087062,0.895599742590611,0.988053446902479,0.981447518076779,0.978447094135955,0.985725637991453,0.981829744280884
"seq_7",6.73489060073417,12.4250325745566,0.557370283644505,0.484623657317295,-0.00685050878385911,0.0077451224732128,-0.904526953733726,0.393456277611749,-0.0592701907322029,0.0277880199253806,-2.1825706257966,0.106749698675441,0.0158510184125863,0.872113616137662,0.0223293611826509,0.55050530883234,-0.000212217973231695,0.00294461799203055,-0.0811370082134571,0.583428382638082,12.6631678281759,1.48311627752392,8.65653846764783,1.39231083267192e-09,1.51830755456324,3.02169725671779,0.497529657636706,0.458760638738058,-1.65480610541398,3.31507828265535,-0.519702538867582,0.471879582983726,-1.86232678968391,1.25294504043339,-1.54018550447206,0.248037146104477,1.29581817007403,3.68155702433863,0.356979716893203,0.483470657291625,-2.79838427135976,2.40769374769371,-1.19557151099451,0.317380542453378,0.844569122341095,2.52100142883098,0.319727518520181,0.546891176738753,-2.32804917268065,3.04823028866311,-0.783192620943516,0.42727693339347,-1.28460151115922,3.43357517066404,-0.388495724623544,0.505983090263217,0.983095218655376,0.932783855422025,0.596417597354849,0.993100972524149,1,3.00720096005696e-08,0.956626259367201,0.97250057913915,0.661302503479956,0.990337758985296,0.882508669300881,0.986916493511319,0.968656030635156,0.984218940442239
"seq_8",0.445641444814751,14.0969697136317,0.0400806804969359,0.599778095941344,0.00277356688188652,0.00878732158471991,0.314167046139919,0.564481549894515,-0.00361279568496765,0.0315272312518556,-0.114000756525087,0.641909912027168,-0.838715478524222,0.989466961938906,-0.863339722654148,0.439426511794278,0.00135779964136256,0.00334085165594434,0.410151048254486,0.572700855912548,11.4386756686869,1.68268735881322,6.83897411030807,9.62689405965896e-08,2.83709018600219,3.42830286006191,0.838482092408754,0.432736338026945,1.97462026391092,3.76116182138689,0.52505780976441,0.542733246040545,-1.00705277612172,1.42154382146277,-0.711844536014787,0.443485992058526,-0.112867977132165,4.17695467272945,-0.0421640274005856,0.550547675971637,1.79271532087504,2.73167781551269,0.654725919565919,0.515844093693448,1.76102316050762,2.8602324039799,0.60465560314479,0.495518287984898,2.92414589891763,3.45840622965064,0.850895252639263,0.441420709767078,6.04469990061335,3.89560388674121,1.56356224954115,0.198070927838592,0.996665843714141,0.993369278587933,1,0.961371254821347,1,2.02398431823318e-06,0.970273716740174,0.984132328281492,0.916174827453927,0.984932436555884,0.980989870914839,0.974650214758854,0.937183598784966,0.859746245480159
"seq_9",1.36564147921101,17.6500767874179,0.0761394320742342,0.641240774239235,-0.00230648364494016,0.0110021447074589,-0.207822569748187,0.621944947474815,0.106601179736366,0.0394735935306607,2.72146258610123,0.0245389188954899,-0.496867718547757,1.2388597132295,-0.403647661715457,0.574595282975951,0.00375121405337037,0.00418290522435965,0.906974509975609,0.41899014880181,-2.93377580460923,2.10680463217222,-1.39680601108854,0.243422505843704,2.33184346350744,4.29239829267025,0.54362056861609,0.528444693386854,-3.51867745866564,4.70915354902049,-0.748724338728757,0.438907160602074,3.02428324234427,1.7798404987162,1.7135137292143,0.138245761323154,2.1286537938203,5.22974598150327,0.414734090797711,0.569644243534075,1.66529887247573,3.42019059285215,0.495547076865039,0.593517358479561,-2.73271755427918,3.58114705398629,-0.764568766683299,0.472697371662714,-0.531912022710349,4.33008914365416,-0.120394328189706,0.65533250440302,-2.15472255016617,4.87748141133179,-0.447535287342429,0.605032576940668,0.993090463623901,0.996135184512339,0.291525180015516,1,0.968908996468325,0.839750602786515,0.997863988625398,0.998727732618997,0.676025324587049,0.998149216825345,0.985950026075133,0.985448714655117,0.989738525998939,0.99423799946794
"seq_10",-30.2503136009575,14.4461576245865,-2.11003000493469,0.0823872556417496,0.0308613115563819,0.00900498726247824,3.46029343851404,0.00528448296770443,-0.0143699198087704,0.0323081741241652,-0.446972597605607,0.555245031797445,-0.196936784063389,1.0139764777013,-0.203520702457044,0.576047870064315,-0.00129635378275095,0.00342360596656905,-0.373372718601193,0.521562485598701,-6.56861553389158,1.72436823743821,-3.844020146422,0.00338696558636081,-12.6685123888244,3.51322337405491,-3.63865767930057,0.00295533574701544,10.3450674871125,3.85432739284322,2.71402027051823,0.0346350149342921,-3.57719960189917,1.45675606405327,-2.48125259310407,0.0655021367290831,-7.25906228116364,4.2804196092337,-1.72405537653756,0.161429597359248,5.24132751591973,2.79934263207805,1.89893625207829,0.134281436070491,4.31516400265618,2.93108157215434,1.486173865829,0.212821910876353,9.64344821555258,3.54407241685944,2.74987434846823,0.0350366291651661,14.7976945223924,3.99209964510289,3.76304375521631,0.00556465906576574,0.637432588291098,0.0891756008873453,0.998372815521833,1,0.997139372097722,0.0463121431181028,0.0628693052289777,0.339119176230225,0.320658478942268,0.825406674336271,0.696435424047753,0.874338286767229,0.315316903399502,0.0876037275612151
