"","(Intercept) Estimate","(Intercept) Std. Error","(Intercept) t value","(Intercept) Pr(>|t|)","model.bw Estimate","model.bw Std. Error","model.bw t value","model.bw Pr(>|t|)","model.DOL Estimate","model.DOL Std. Error","model.DOL t value","model.DOL Pr(>|t|)","model.Subject_IDPH02 Estimate","model.Subject_IDPH02 Std. Error","model.Subject_IDPH02 t value","model.Subject_IDPH02 Pr(>|t|)","model.Subject_IDPH03 Estimate","model.Subject_IDPH03 Std. Error","model.Subject_IDPH03 t value","model.Subject_IDPH03 Pr(>|t|)","model.Subject_IDPH04 Estimate","model.Subject_IDPH04 Std. Error","model.Subject_IDPH04 t value","model.Subject_IDPH04 Pr(>|t|)","model.Subject_IDPH05 Estimate","model.Subject_IDPH05 Std. Error","model.Subject_IDPH05 t value","model.Subject_IDPH05 Pr(>|t|)","model.Subject_IDPH06 Estimate","model.Subject_IDPH06 Std. Error","model.Subject_IDPH06 t value","model.Subject_IDPH06 Pr(>|t|)","model.Subject_IDPH07 Estimate","model.Subject_IDPH07 Std. Error","model.Subject_IDPH07 t value","model.Subject_IDPH07 Pr(>|t|)","model.Subject_IDPH08 Estimate","model.Subject_IDPH08 Std. Error","model.Subject_IDPH08 t value","model.Subject_IDPH08 Pr(>|t|)","model.Subject_IDPH09 Estimate","model.Subject_IDPH09 Std. Error","model.Subject_IDPH09 t value","model.Subject_IDPH09 Pr(>|t|)","model.Subject_IDPH10 Estimate","model.Subject_IDPH10 Std. Error","model.Subject_IDPH10 t value","model.Subject_IDPH10 Pr(>|t|)","(Intercept) Pr(>|t|).BH","model.bw Pr(>|t|).BH","model.DOL Pr(>|t|).BH","model.Subject_IDPH02 Pr(>|t|).BH","model.Subject_IDPH03 Pr(>|t|).BH","model.Subject_IDPH04 Pr(>|t|).BH","model.Subject_IDPH05 Pr(>|t|).BH","model.Subject_IDPH06 Pr(>|t|).BH","model.Subject_IDPH07 Pr(>|t|).BH","model.Subject_IDPH08 Pr(>|t|).BH","model.Subject_IDPH09 Pr(>|t|).BH","model.Subject_IDPH10 Pr(>|t|).BH"
"seq_1",54.0555347221907,8.11184215269435,6.6867952529528,4.20389517780944e-08,-0.0382345126738115,0.00719296722918549,-5.32940856754965,4.30525669143715e-06,-0.157642795422593,0.0300858389700694,-5.26414113246597,7.77111208833483e-06,1.69099641405135,1.49077446345354,1.13036300402398,0.277849264424776,4.42502640432043,2.99842408406847,1.48714237077786,0.185154370654301,-13.0513573963721,3.32988012467083,-3.92565873421462,0.000323199313325276,-0.661558499239821,1.36931812611113,-0.492274258541816,0.631908384618981,11.3430165342777,4.00658832272953,2.83813800683156,0.00753358829816048,-6.90152939689744,2.60715482556879,-2.65739376257844,0.0117067960789311,2.11142745587499,2.54814403879794,0.834973507674401,0.416253072236708,-9.18917662235727,3.08962083089245,-2.98174517823198,0.00516017743579522,-9.68324518483942,3.55012495960644,-2.73638167889641,0.00969572904743779,9.6680421380882e-07,9.67407336452687e-05,0.000176395752691005,0.991945894767912,0.945451620590535,0.00720842110157894,0.998202785843624,0.165795793079641,0.234307795809546,1,0.102367148237347,0.194283892139273
"seq_2",-12.0896860247438,11.1975243726524,-1.07594248488016,0.317255043878588,0.0121593262097635,0.00992911651193086,1.22330019873299,0.253196454345117,0.120228582549835,0.0415302601798223,2.89761196654642,0.00674622425918294,1.14451307211499,2.05785357683572,0.554721461277285,0.581296272561051,-4.86752908075674,4.13900149052489,-1.18033762084278,0.272657012385457,3.4365949343906,4.5965408537477,0.748423012385525,0.481304509977702,7.17014506153804,1.89019618508616,3.79918762303555,0.00047620365713243,-4.38917460151246,5.53066363354306,-0.804232708738905,0.499680724584503,12.9976556301274,3.59889642242213,3.6162962471443,0.000919338980516767,2.18270683705579,3.51743838728316,0.622805321716693,0.554299156410004,13.1623342460131,4.26488877679672,3.09073439657677,0.00501450192343142,12.672242562061,4.90056512600542,2.58932432322632,0.0146275999472519,0.998961974539992,0.998168294032294,0.130692307693129,1,0.990238057507182,1,0.0072936119291075,0.963695827603262,0.020693873732636,1,0.0966170511594259,0.27761596412927
"seq_3",-6.87035011648854,9.40880727377871,-0.727536294573099,0.49390273908938,0.0145747016190945,0.00834301766628105,1.75500477115815,0.0998951405594399,0.0818952057901707,0.0348961253450058,2.36090801913031,0.0460152783729577,-6.02975102320958,1.72912753370656,-3.51103266866157,0.00168719683834683,-13.452284076551,3.47782831581433,-3.89498601705201,0.000704934667758423,6.0923416131752,3.862279337796,1.58794026492879,0.134849426453791,-14.6067671404021,1.58825210137898,-9.26869860022245,1.8296482877643e-10,-12.5692768364441,4.64718329626438,-2.72246298137016,0.0233723316392119,-7.07706687730236,3.02400081571252,-2.35815911601305,0.0414474807011689,-11.3591937694595,2.95555506573986,-3.88288607589151,0.00137096726947164,-7.28515064363614,3.58360609091286,-2.05782568955805,0.0741927757934695,-9.44736269426208,4.11773810609392,-2.31336001943543,0.0510520644843647,1,0.90376779312143,0.450959968501935,0.025606349891837,0.0155455200588189,0.967409158427988,4.20819106185789e-09,0.401488026037393,0.490705039269408,0.0288862454874353,0.643093949476241,0.533193950612555
"seq_4",-39.7297652106156,9.47771485416794,-4.2203593826079,0.00046899937901175,0.041107008042719,0.00840411968950245,4.92761077951396,4.98054933772291e-05,-0.0075087909929259,0.0351516952055114,-0.21450508632813,0.625485576261622,-8.70765066035937,1.74179119989347,-5.04437041308357,9.73254757759435e-05,-0.714985798687627,3.50329899740856,-0.2112744583893,0.776193232268464,14.7466816141251,3.89056563553924,3.81923170779453,0.00163262164053064,-5.37276033211299,1.59988403369193,-3.38483749764952,0.00862638938002983,-11.2813955800571,4.68121802003466,-2.4286621836524,0.0374491679687929,2.09655028002984,3.0461477864435,0.686577699770736,0.496206225646856,3.5843936442233,2.97720075815986,1.20551898784182,0.300631566122539,9.42423181234904,3.6098514605551,2.62944069323798,0.0326610940187169,7.28533888563133,4.14789531532471,1.76359435835883,0.141911783585465,0.00964411290590161,0.00105444076827018,1,0.00159889988933797,1,0.0338210538491277,0.07830526772682,0.525167971366653,0.980073407359655,0.941355241877374,0.365767249927082,0.770179670225668
"seq_5",-10.1414221563512,10.0716408078336,-1.01107911003037,0.360369793869028,0.00505080503046462,0.00893076824119558,0.568321758188789,0.526744966514584,0.0587881623660462,0.0373544945531534,1.58091513480119,0.184565786751767,-1.32340336440728,1.85094145556171,-0.721113179109591,0.462589287367451,1.05351105279104,3.7228350596374,0.28748583921102,0.589835869202252,1.55551357157034,4.13436996400248,0.382508811981001,0.60185512546409,8.86725704760508,1.70014160264032,5.25452380910979,2.83372199087468e-05,2.77209602940794,4.97456899330679,0.556350695346172,0.520974904340084,2.05854852550133,3.23703622916494,0.638366115105374,0.525421390750235,0.866303197579233,3.16376859932746,0.278081318819358,0.615493939546633,3.386364552606,3.83606468856319,0.890441615747066,0.415124760372185,1.93821622369387,4.40782534263252,0.437556645436912,0.58028455346015,0.959886308447142,0.990439123512459,0.839695697706617,0.967064881916146,1,0.993333262085529,0.00048925754411428,0.997873921368736,0.970190729127073,0.998150208537461,0.961858090414254,0.994858858801736
"seq_6",-0.282446575529502,8.45527695642766,-0.0396300051791143,0.570300107396195,-0.00184006538336448,0.00749749920134609,-0.238977360515462,0.558954926836383,-0.0182364447023497,0.0313595970150784,-0.591139569627342,0.522995268514332,11.246441979412,1.55389006970295,7.31201660758614,2.13808591604956e-07,3.94347197207816,3.12536974788162,1.26759412106078,0.290073994402452,0.0889828177967025,3.47085879579696,0.0409389440546817,0.606722853391591,-1.18897299235144,1.42729157937084,-0.850010550793848,0.434455882561413,1.65341233734643,4.17621710104591,0.383353865031607,0.508264728509513,-0.852505245693573,2.71753514226716,-0.31417545858624,0.549806018290512,0.972798921805978,2.65602598859132,0.37763838680993,0.542552686673319,0.242930326588818,3.22042753345082,0.0840816905892978,0.574922075764903,0.336925772992609,3.70042823792236,0.0944517916705475,0.550474962987366,0.997216329850423,1,0.965581158515344,3.84999140412832e-06,0.905262052033462,0.987892150269928,0.923601977828521,0.972886224725137,0.993101728529392,0.983873163258135,0.989332161046753,0.992500262210195
"seq_7",7.33909057793367,7.17560819871365,1.05016703786584,0.38248829702492,-0.00739651375812161,0.00636278586925886,-1.18578120100447,0.344323101480835,-0.0585434809571832,0.02661346075467,-2.2386167560773,0.0996197657728728,12.487639911273,1.31871568270558,9.58913154037076,2.05614398750594e-11,1.96510362529409,2.65235886446777,0.749759232921025,0.430254110830807,-1.67523477638538,2.94555967356752,-0.593604200532767,0.432849473104672,-1.78942657307545,1.21127731376117,-1.51282534969861,0.22987016371932,1.43267369217356,3.54416512011383,0.410101042784239,0.491962105017315,-2.91369186181578,2.30624822198413,-1.28821460131326,0.309400942668081,0.597798505031541,2.2540482065752,0.26218041905616,0.527065367515806,-2.21027757502505,2.73303007476602,-0.833383771565688,0.403402501456699,-1.29606591440796,3.14038479633738,-0.427573993796142,0.505229878532125,0.894226259977115,0.867374925660928,0.527616905823539,4.52636084556459e-10,0.950230132450562,0.969003134708515,0.690719714074039,0.986810777111923,0.813331582437724,0.979640651513248,0.942784394600743,0.969731197542815
"seq_8",-7.88907707227937,8.10403712551917,-0.965883472747607,0.420444834046889,0.00560127164157702,0.00718604632224017,0.773570546962557,0.473606572683115,-0.0105303320899383,0.0300568910706491,-0.363556221183394,0.544592269925107,12.0127580743083,1.48934007469446,8.11805361372551,5.38546367753265e-10,2.25011845863648,2.99553906966381,0.758765457336673,0.460507467820861,2.6946931189881,3.32667619091892,0.804171026527914,0.464358222600677,-1.18098539841326,1.36800059983478,-0.867644436589061,0.40113116773737,0.093807820839204,4.00273327597813,0.0204723569017473,0.58275733088391,2.19629150718731,2.60464628140824,0.846275152792769,0.446042510369432,2.23276028443507,2.54569227345356,0.865538322331456,0.42340450406894,3.77802704191991,3.0866480690842,1.22306239111093,0.345498259994155,6.76051125077027,3.54670911136095,1.91264024865478,0.126754266776316,0.917906576463035,0.947971573026311,0.984774022606093,1.12604347987578e-08,0.987907539111599,0.951244852434012,0.902021635189275,0.991449256161712,0.939242134754291,0.961683695086194,0.870641854557585,0.706298716708241
"seq_9",-2.53732135545488,10.2929060902359,-0.245955144218988,0.635306250641768,-0.00156317662819922,0.00912696953497296,-0.17266291716026,0.637110144161367,0.0975499737830265,0.0381751406568023,2.56908070114656,0.0275718687245781,-2.89002178427886,1.89160504669738,-1.53814873127966,0.194495375087965,2.2908513160386,3.80462254258331,0.601633556488128,0.526915462250184,-3.7398119065636,4.22519851469198,-0.892635644579939,0.421040877411219,2.76962944119142,1.73749225076307,1.61446761689979,0.169559285111433,2.73549305530583,5.08385599372065,0.538309287243511,0.516425432749239,1.88540717832091,3.30815112981109,0.570971215095967,0.580134250087777,-2.86650517414824,3.23327387318923,-0.894140668763769,0.422958227864983,-0.579627472654018,3.92033972902814,-0.144681525361022,0.624065089762849,-2.32160402605627,4.50466147269578,-0.519155857472791,0.563405652525286,1,0.999376755355856,0.369913769417066,0.802191377573353,0.991402998457056,0.977405389015127,0.725548035249826,0.997396289331302,0.994661944101221,0.983459563209507,1,0.981784395194714
"seq_10",-32.9338162317811,8.34339691903392,-3.97951622254055,0.0010755246722331,0.0321722107833586,0.00739829245799175,4.3855646781695,0.000279823813472432,-0.0125615714454866,0.0309446475220246,-0.401824852880726,0.544529371754481,-6.38730140053453,1.53332903072102,-4.20049531762464,0.00138208523779102,-13.2523923634182,3.08401492460804,-4.33264710374577,0.000285093700183427,10.9135527644681,3.42493246909432,3.21296465742255,0.011925725181866,-3.42679910949731,1.40840568880869,-2.45989843481272,0.067249909723282,-7.51660694436021,4.12095748887268,-1.85539502649421,0.134602183280512,5.46565389763534,2.68157677746108,2.06097299054993,0.118031601982212,4.68514693786341,2.62088151154418,1.79331132341371,0.14142559044166,10.1104351660951,3.17781490766422,3.21234247624068,0.0111282232470282,15.1584446297903,3.65146425344674,4.20308324551187,0.00194584861586321,0.0216781105223579,0.00565627842123063,0.983923715664174,0.0193137544456238,0.00625207848399841,0.174950696330377,0.342382021334737,0.778908368552355,0.621871967497407,0.753064569895799,0.166248850259976,0.0269222740034562
